network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w200_physics_s2,physics,2,200,4,True,val,4,2932,4568.570750169392,60870.49203461098,1.6185211142390603,6281.1775
w200_physics_s2,physics,2,200,4,True,val,5,1524,10820.609564914377,80716.3367612259,2.345495765127853,7759.312
w200_physics_s2,physics,2,200,4,True,val,6,856,12668.956235031928,87328.60925932374,2.517523212794207,8181.928
w200_physics_s2,physics,2,200,4,True,test,0,4563,141.02323496842928,3318.147287455459,0.12468585442251562,69.21399999999994
w200_physics_s2,physics,2,200,4,True,test,1,4563,504.6782717474529,8478.471041221119,0.3871936660615888,335.087
w200_physics_s2,physics,2,200,4,True,test,2,4563,1064.5396385798165,26737.996307259873,0.6451416919016177,752.393
w200_physics_s2,physics,2,200,4,True,test,3,4563,1738.2432823961267,36677.701122607934,0.9658544315295781,1994.9869999999999
w200_physics_s2,physics,2,200,4,True,test,4,2914,4575.953743152411,58120.3312129173,1.4983425245275461,6269.4015
w200_physics_s2,physics,2,200,4,True,test,5,1481,10520.631226736668,109463.37332554277,2.223122344154237,7783.540000000001
w200_physics_s2,physics,2,200,4,True,test,6,853,12388.915730634835,78248.64719812342,2.370464187843063,8330.801
w200_physics_s3,physics,3,200,4,True,val,0,4551,180.8165477101511,3378.6170109695063,0.08380429082181784,55.0
w200_physics_s3,physics,3,200,4,True,val,1,4551,509.86341919813685,10522.264938919208,0.2845845231948668,373.71799999999996
w200_physics_s3,physics,3,200,4,True,val,2,4551,897.5865459865418,19169.238530144183,0.43551197626370136,821.8929999999991
w200_physics_s3,physics,3,200,4,True,val,3,4551,1443.0002414412825,28198.001258942582,0.6600441438405352,2099.987
w200_physics_s3,physics,3,200,4,True,val,4,2932,2726.174206217547,55669.330643963,1.0149556747772182,6281.1775
w200_physics_s3,physics,3,200,4,True,val,5,1524,4723.407243358919,88395.83392108802,1.6245279193352267,7759.312
w200_physics_s3,physics,3,200,4,True,val,6,856,5066.878289947625,85486.9865133345,1.7501616327527252,8181.928
w200_physics_s3,physics,3,200,4,True,test,0,4563,183.6235591798916,3210.1006595960675,0.08613151783826156,69.21399999999994
w200_physics_s3,physics,3,200,4,True,test,1,4563,474.4461647115159,9711.308909570518,0.27727015879480676,335.087
w200_physics_s3,physics,3,200,4,True,test,2,4563,847.389730312841,19881.574721363373,0.43228853358621283,752.393
w200_physics_s3,physics,3,200,4,True,test,3,4563,1401.7658567190665,29997.57573655245,0.6444287374435254,1994.9869999999999
w200_physics_s3,physics,3,200,4,True,test,4,2914,2651.7444397125873,54134.32106824008,1.0213126769406355,6269.4015
w200_physics_s3,physics,3,200,4,True,test,5,1481,4451.775037267282,116355.85839467058,1.478749947984359,7783.540000000001
w200_physics_s3,physics,3,200,4,True,test,6,853,4881.9116586200835,95726.5733018303,1.5521061087874488,8330.801
w200_physics_s4,physics,4,200,4,True,val,0,4551,172.61858900724292,3647.5861610212232,0.10636011420513125,55.0
w200_physics_s4,physics,4,200,4,True,val,1,4551,565.5216644689887,10292.052225298248,0.3510286268255808,373.71799999999996
w200_physics_s4,physics,4,200,4,True,val,2,4551,1015.3116170156195,28517.881026675583,0.5612746028098026,821.8929999999991
w200_physics_s4,physics,4,200,4,True,val,3,4551,1768.2544338445823,37431.40519704457,1.0288714619307755,2099.987
w200_physics_s4,physics,4,200,4,True,val,4,2932,4566.2460680382255,66938.02043269739,1.82849114650337,6281.1775
w200_physics_s4,physics,4,200,4,True,val,5,1524,10978.046008689773,107520.16924797517,3.5788272460045674,7759.312
w200_physics_s4,physics,4,200,4,True,val,6,856,12997.519063491467,107390.30820206812,3.8662107932940994,8181.928
w200_physics_s4,physics,4,200,4,True,test,0,4563,173.02092046706719,3439.7258448339803,0.10176831330751743,69.21399999999994
w200_physics_s4,physics,4,200,4,True,test,1,4563,538.6522555932664,9554.234068634114,0.3351596535918558,335.087
w200_physics_s4,physics,4,200,4,True,test,2,4563,979.8365757252441,30069.59494659313,0.5247856015480196,752.393
w200_physics_s4,physics,4,200,4,True,test,3,4563,1638.7391565579037,39311.41650536699,0.9117528474795605,1994.9869999999999
w200_physics_s4,physics,4,200,4,True,test,4,2914,4396.400781000267,68554.65851028298,1.6710993854625045,6269.4015
w200_physics_s4,physics,4,200,4,True,test,5,1481,10296.989004594707,113178.42989352181,3.414295932183342,7783.540000000001
w200_physics_s4,physics,4,200,4,True,test,6,853,12298.250071100427,92650.06883506529,3.7337769927969777,8330.801
